INFO:db_updater:Обновление начинается 
INFO:db_updater:Установка соединения с удаленным сервером
INFO:paramiko.transport:Connected (version 2.0, client OpenSSH_6.0p1)
INFO:paramiko.transport:Authentication (publickey) successful!
INFO:db_updater:Начинается загрузка документов с удаленного сервера
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3801.html' 0/15632
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3801.html' 15632/15632
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6309.html' 0/4728
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6309.html' 4728/4728
INFO:db_updater:=> b'documents/prim_tnved_2018/13_7013.html' 0/9369
INFO:db_updater:=> b'documents/prim_tnved_2018/13_7013.html' 9369/9369
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8459.html' 0/13198
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8459.html' 13198/13198
INFO:db_updater:=> b'documents/prim_tnved_2018/9_4413.html' 0/4383
INFO:db_updater:=> b'documents/prim_tnved_2018/9_4413.html' 4383/4383
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2510.html' 0/1275
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2510.html' 1275/1275
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7616.html' 0/3000
INFO:db_updater:=> b'documents/prim_tnved_2018/15_7616.html' 3000/3000
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2528.html' 0/4009
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2528.html' 4009/4009
INFO:db_updater:=> b'documents/prim_tnved_2018/9_4416.html' 0/5075
INFO:db_updater:=> b'documents/prim_tnved_2018/9_4416.html' 5075/5075
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3805.html' 0/8544
INFO:db_updater:=> b'documents/prim_tnved_2018/6_3805.html' 8544/8544
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8535.html' 0/9670
INFO:db_updater:=> b'documents/prim_tnved_2018/16_8535.html' 9670/9670
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1503.html' 0/7232
INFO:db_updater:=> b'documents/prim_tnved_2018/3_1503.html' 7232/7232
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9503.html' 0/30898
INFO:db_updater:=> b'documents/prim_tnved_2018/20_9503.html' 30898/30898
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2713.html' 0/6558
INFO:db_updater:=> b'documents/prim_tnved_2018/5_2713.html' 6558/6558
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6006.html' 0/2398
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6006.html' 2398/2398
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6215.html' 0/1437
INFO:db_updater:=> b'documents/prim_tnved_2018/11_6215.html' 1437/1437
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0907.html' 0/911
INFO:db_updater:=> b'documents/prim_tnved_2018/2_0907.html' 911/911
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5206.html' 0/443
INFO:db_updater:=> b'documents/prim_tnved_2018/11_5206.html' 443/443
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2810.html' 0/6284
INFO:db_updater:=> b'documents/prim_tnved_2018/6_2810.html' 6284/6284
